MasjidAl Field,Keela Field,Accepted Values
payment_status,,
payment_log,,
campaign_title,Campaign - Name,
donation_type,Recurring,"Y, N"
first_name,First Name,
last_name,Last Name,
email,Email,
amount,Transaction Item Amount,
cover_processing_fee,,
stripe_processing_fee,,
no_of_units,,
net_amount,,
payment_type,Payment Type,"Credit Card, Cash, Bank Transfer/EFT"
card_type,,
last_4_digits,,
platform_used,,
make_anonymous_donation,,
donor_comments,,
donation_designation,,
payment_medium,,
masjid_id,,
campaign_id,,
donor_id,,
recurring_plan_id,,
charge_id,,
payment_intent_id,,
id,,
created_at,Date of Gift,MM/DD/YYYY
